"(PDH-CSV 4.0) (","\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%)","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne"
"05/08/2020 15:18:25.332","0.38661803271622413591","0.38661803271622413591","388.93774091252151948","0","0","100","100","100","100","199622656","126152704","335925248","26624000","19107840"
"05/08/2020 15:18:31.264","0.26339858004143407166","0.26339858004143407166","386.14231834074234939","0","0","100","100","100","100","201580544","126152704","337907712","26624000","19107840"
"05/08/2020 15:18:31.296","0","0","299.9760019198463965","0","0","100","100","100","100","201580544","126152704","337924096","26624000","19107840"
"05/08/2020 15:18:32.302","0","0","391.45711822144153302","0","0","100","100","100","100","201580544","126152704","339714048","26624000","19107840"
"05/08/2020 15:18:33.306","0","1.5549442150701313636","390.29099798260295984","0","0","100","100","100","100","201580544","126152704","341381120","26624000","19107840"
"05/08/2020 15:18:34.291","0","0","393.65059370128574301","0","0","100","100","100","100","201580544","126152704","337575936","26624000","19107840"
"05/08/2020 15:18:35.291","0","0","390.62480468759764562","0","0","100","100","100","100","201539584","126152704","339238912","26624000","19107840"
"05/08/2020 15:18:36.291","0","0","387.49996125000387792","0","0","100","100","100","100","201539584","126152704","340844544","26656768","19107840"
"05/08/2020 15:18:37.296","0","0","391.65121944523690445","0","0","100","100","100","100","201539584","126152704","342630400","26656768","19107840"
"05/08/2020 15:18:43.139","0","0.26740469106380931885","396.02634746550154432","0","0","100","100","100","100","201539584","126152704","304119808","26656768","19107840"
"05/08/2020 15:18:43.296","10.000006400004096463","0","390.00024960015974784","0","0","100","100","100","100","201539584","126152704","304365568","26656768","19107840"
"05/08/2020 15:18:44.296","1.5624989062507654847","1.5624989062507654847","395.31222328144372113","0","0","100","100","100","100","201539584","126152704","305905664","26656768","19107840"
"05/08/2020 15:18:45.311","4.6153850698225298288","0","330.76926333728130203","0","0","100","100","100","100","201895936","126152704","290119680","26656768","19107840"
"05/08/2020 15:18:46.296","1.5873019098010230366","0","396.82547745025573249","0","0","100","100","100","100","201895936","126152704","292356096","26656768","19107840"
"05/08/2020 15:18:47.301","4.662544662204482826","1.554181554068160942","390.09957007110841687","0","0","100","100","100","100","201449472","126152704","294359040","26656768","19107840"
"05/08/2020 15:18:48.306","0","0","398.07205741154439238","0","0","100","100","100","100","201449472","126152704","296275968","26656768","19107840"
"05/08/2020 15:18:49.290","0","0","400.00004063492474415","0","0","100","100","100","100","201449472","126152704","298143744","26656768","19107840"
"05/08/2020 15:18:53.285","0.39115359518969949892","0.39115359518969949892","491.68006915345222296","0","0","100","100","100","100","201449472","126152704","306733056","26656768","19107840"
"05/08/2020 15:19:04.305","0.85069545283362846266","0.14178257547227141044","359.56061139768024759","0","0","100","100","100","100","201412608","126152704","322981888","26750976","19107840"
"05/08/2020 15:19:05.289","1.5873017485512885827","1.5873017485512885827","322.22225495591163735","0","0","100","100","100","100","202010624","126152704","309452800","26750976","19107840"
